gene_id	type	Intron.len	Ratio	GT_mean_TPM	source
evm.model.LG07.696	MTPSL	1.86332286	0	0.264513667	proximal
evm.model.LG13.277	MTPSL	3.178401342	0	6.116212	proximal
evm.model.LG14.544	MTPSL	2.780317312	0	6.519587	dispersed
evm.model.LG14.561	MTPSL	2.683047038	0	44.85116667	dispersed
evm.model.LG17.391	MTPSL	3.105510185	0	30.08489433	tandem
evm.model.LG17.392	MTPSL	2.330413773	0	10.07486267	tandem
evm.model.LG17.734	MTPSL	2.230448921	0	10.07852033	tandem
evm.model.LG26.312	MTPSL	2.408239965	0	1.128892	dispersed
evm.model.LG27.177	MTPSL	2.209515015	0	8.391974	tandem
evm.model.LG27.178	MTPSL	2.187520721	0	6.877731	tandem
evm.model.LG35.589	MTPSL	2.596597096	0	20.04792	tandem
evm.model.LG36.631	MTPSL	2.326335861	0	11.05373433	proximal
evm.model.LG32.421	MTPSL	3.399846713	0.1477499	50.38781433	tandem
evm.model.LG28.138	MTPSL	3.159867847	0.160553633	4.063736667	proximal
evm.model.LG13.280	MTPSL	3.747411808	0.270661896	10.10471367	tandem
evm.model.LG17.493	MTPSL	3.615213335	0.380305603	10.17738	dispersed
evm.model.LG17.378	MTPSL	4.166873951	0.600068097	0.087487	tandem
evm.model.LG27.475	MTPSL	3.660580912	0.600830238	10.01750867	tandem
evm.model.LG28.344	MTPSL	3.893650817	0.619315278	6.426495	tandem
evm.model.LG07.700	MTPSL	4.308841761	0.624465943	41.85643	proximal
evm.model.LG26.301	MTPSL	4.415173745	0.666077195	10.05022067	tandem
evm.model.LG41.375	MTPSL	4.860194216	0.668966278	20.75422033	dispersed
evm.model.LG32.425	MTPSL	4.089834489	0.692389006	30.33970633	tandem
evm.model.LG27.180	MTPSL	4.567966907	0.738236885	4.179373667	proximal
evm.model.LG17.387	MTPSL	4.672734972	0.750663919	10.20801967	tandem
evm.model.LG17.379	MTPSL	4.211574363	0.772378202	0.012556	tandem
evm.model.LG25.381	MTPSL	4.97520656	0.779769404	21.94901867	tandem
evm.model.LG32.420	MTPSL	4.575764981	0.780557769	21.23597067	tandem
evm.model.LG28.345	MTPSL	4.21940113	0.781270742	23.33462033	tandem
evm.model.LG13.281	MTPSL	5.063896038	0.783513164	5.267424667	tandem
evm.model.LG24.14	MTPSL	4.604884558	0.799160478	40.086643	tandem
evm.model.LG26.299	MTPSL	3.992686039	0.807383301	40.01361367	tandem
evm.model.LG17.733	MTPSL	4.296006669	0.82903389	30.04072367	dispersed
evm.model.LG32.426	MTPSL	5.269797711	0.835484252	20.23084667	tandem
evm.model.LG24.17	MTPSL	3.961800639	0.84123171	10.078192	tandem
evm.model.LG10.92	MTPSL	5.11091615	0.843226411	45.43401167	tandem
evm.model.LG32.427	MTPSL	4.584851162	0.849815325	10.33507933	tandem
evm.model.LG06.916	MTPSL	4.621061979	0.850175884	36.029334	dispersed
evm.model.LG32.423	MTPSL	4.776679396	0.860879308	40.406255	tandem
evm.model.LG32.422	MTPSL	5.055060905	0.866689571	80.231509	tandem
evm.model.LG17.389	MTPSL	5.107623709	0.879247904	40.19821467	tandem
evm.model.LG32.424	MTPSL	4.74250518	0.883702417	50.270563	tandem
evm.model.LG17.388	MTPSL	5.129212808	0.89885037	10.254015	tandem
evm.model.LG36.629	MTPSL	4.631981231	0.900053672	96.87222467	proximal
evm.model.LG24.15	MTPSL	4.834433421	0.910646833	20.03488667	tandem
evm.model.LG17.377	MTPSL	5.000538192	0.920178978	0.083895667	tandem
evm.model.LG13.261	MTPSL	5.021383654	0.972755053	5.104655667	dispersed
evm.model.LG24.16	MTPSL	4.602244527	0.976909813	10.065434	tandem
evm.model.LG02.925	MTPSL	5.297261387	0.996242536	143.7790427	tandem
evm.model.LG36.624	TPS	4.215769708	0.305749924	1.26555067	dispersed
evm.model.LG28.310	TPS	4.191171456	0.374372183	0.85457633	dispersed
evm.model.LG36.620	TPS	5.16704249	0.709693888	0.7132767	dispersed
evm.model.LG36.621	TPS	5.157613896	0.832433636	0.97064893	dispersed
evm.model.LG36.614	TPS	5.146404035	0.8734376	0.697946	proximal
evm.model.LG36.612	TPS	5.404015652	0.898391461	0.527725	proximal
evm.model.LG36.508	TPS	5.388127855	0.983487102	0.30117133	dispersed
